run_id,seed,subset,subset_position,sample_index,sample_id,response_binary
faithful-seed-0,0,train,0,10,R12C3,1
faithful-seed-0,0,train,1,28,R4C3,0
faithful-seed-0,0,train,2,22,R3C2,0
faithful-seed-0,0,train,3,31,R5C1,0
faithful-seed-0,0,train,4,38,R6C4,1
faithful-seed-0,0,train,5,37,R6C3,1
faithful-seed-0,0,train,6,7,R11C5,0
faithful-seed-0,0,train,7,14,R1C3,0
faithful-seed-0,0,train,8,27,R4C2,0
faithful-seed-0,0,train,9,35,R6C1,1
faithful-seed-0,0,train,10,49,R8C5,1
faithful-seed-0,0,train,11,18,R2C3,0
faithful-seed-0,0,train,12,51,R9C2,1
faithful-seed-0,0,train,13,34,R5C5,0
faithful-seed-0,0,train,14,15,R1C4,0
faithful-seed-0,0,train,15,5,R11C3,0
faithful-seed-0,0,train,16,29,R4C4,1
faithful-seed-0,0,train,17,16,R1C5,0
faithful-seed-0,0,train,18,46,R8C2,1
faithful-seed-0,0,train,19,20,R2C5,1
faithful-seed-0,0,train,20,52,R9C3,0
faithful-seed-0,0,train,21,8,R12C1,1
faithful-seed-0,0,train,22,13,R1C2,0
faithful-seed-0,0,train,23,25,R3C5,1
faithful-seed-0,0,train,24,17,R2C2,1
faithful-seed-0,0,train,25,40,R7C1,0
faithful-seed-0,0,train,26,43,R7C4,1
faithful-seed-0,0,train,27,1,R10C3,0
faithful-seed-0,0,train,28,12,R12C5,0
faithful-seed-0,0,train,29,41,R7C2,1
faithful-seed-0,0,train,30,24,R3C4,0
faithful-seed-0,0,train,31,6,R11C4,1
faithful-seed-0,0,train,32,23,R3C3,1
faithful-seed-0,0,train,33,36,R6C2,1
faithful-seed-0,0,train,34,21,R3C1,0
faithful-seed-0,0,train,35,19,R2C4,1
faithful-seed-0,0,train,36,9,R12C2,0
faithful-seed-0,0,train,37,39,R6C5,0
faithful-seed-0,0,train,38,50,R9C1,1
faithful-seed-0,0,train,39,3,R10C5,0
faithful-seed-0,0,train,40,0,R10C2,0
faithful-seed-0,0,train,41,47,R8C3,1
faithful-seed-0,0,train,42,44,R7C5,0
faithful-seed-0,0,test,0,53,R9C4,1
faithful-seed-0,0,test,1,33,R5C4,0
faithful-seed-0,0,test,2,48,R8C4,0
faithful-seed-0,0,test,3,26,R4C1,1
faithful-seed-0,0,test,4,11,R12C4,0
faithful-seed-0,0,test,5,2,R10C4,0
faithful-seed-0,0,test,6,32,R5C3,0
faithful-seed-0,0,test,7,42,R7C3,0
faithful-seed-0,0,test,8,45,R8C1,0
faithful-seed-0,0,test,9,30,R4C5,1
faithful-seed-0,0,test,10,4,R11C1,0
faithful-seed-1,1,train,0,3,R10C5,0
faithful-seed-1,1,train,1,21,R3C1,0
faithful-seed-1,1,train,2,50,R9C1,1
faithful-seed-1,1,train,3,39,R6C5,0
faithful-seed-1,1,train,4,42,R7C3,0
faithful-seed-1,1,train,5,24,R3C4,0
faithful-seed-1,1,train,6,52,R9C3,0
faithful-seed-1,1,train,7,41,R7C2,1
faithful-seed-1,1,train,8,35,R6C1,1
faithful-seed-1,1,train,9,26,R4C1,1
faithful-seed-1,1,train,10,13,R1C2,0
faithful-seed-1,1,train,11,22,R3C2,0
faithful-seed-1,1,train,12,45,R8C1,0
faithful-seed-1,1,train,13,27,R4C2,0
faithful-seed-1,1,train,14,17,R2C2,1
faithful-seed-1,1,train,15,49,R8C5,1
faithful-seed-1,1,train,16,33,R5C4,0
faithful-seed-1,1,train,17,23,R3C3,1
faithful-seed-1,1,train,18,4,R11C1,0
faithful-seed-1,1,train,19,36,R6C2,1
faithful-seed-1,1,train,20,14,R1C3,0
faithful-seed-1,1,train,21,29,R4C4,1
faithful-seed-1,1,train,22,28,R4C3,0
faithful-seed-1,1,train,23,48,R8C4,0
faithful-seed-1,1,train,24,38,R6C4,1
faithful-seed-1,1,train,25,18,R2C3,0
faithful-seed-1,1,train,26,53,R9C4,1
faithful-seed-1,1,train,27,20,R2C5,1
faithful-seed-1,1,train,28,25,R3C5,1
faithful-seed-1,1,train,29,6,R11C4,1
faithful-seed-1,1,train,30,7,R11C5,0
faithful-seed-1,1,train,31,51,R9C2,1
faithful-seed-1,1,train,32,1,R10C3,0
faithful-seed-1,1,train,33,16,R1C5,0
faithful-seed-1,1,train,34,0,R10C2,0
faithful-seed-1,1,train,35,15,R1C4,0
faithful-seed-1,1,train,36,5,R11C3,0
faithful-seed-1,1,train,37,11,R12C4,0
faithful-seed-1,1,train,38,9,R12C2,0
faithful-seed-1,1,train,39,8,R12C1,1
faithful-seed-1,1,train,40,12,R12C5,0
faithful-seed-1,1,train,41,43,R7C4,1
faithful-seed-1,1,train,42,37,R6C3,1
faithful-seed-1,1,test,0,30,R4C5,1
faithful-seed-1,1,test,1,2,R10C4,0
faithful-seed-1,1,test,2,44,R7C5,0
faithful-seed-1,1,test,3,32,R5C3,0
faithful-seed-1,1,test,4,31,R5C1,0
faithful-seed-1,1,test,5,47,R8C3,1
faithful-seed-1,1,test,6,34,R5C5,0
faithful-seed-1,1,test,7,40,R7C1,0
faithful-seed-1,1,test,8,46,R8C2,1
